Team,ERA,AVG,OBP,OPS,H,R,ER,HR,BB,SO,AVG_BATTING,OBS_BATTING,AB_BATTING,R_BATTING,H_BATTING,2B_BATTING,3B_BATTING,HR_BATTING,BB_BATTING,SO_BATTING,W,L,W/L %,Playoffs
 Kansas City 2018,4.95,0.275,0.342,0.788,1542,833,787,205,549,1157,0.245,0.697,5505,638,1350,283,29,155,427,1310,58,104,0.358,No
 LA Angels 2018,4.15,0.248,0.322,0.738,1353,722,662,205,546,1386,0.242,0.726,5472,721,1323,249,23,214,514,1300,80,82,0.494,No
 LA Dodgers 2018,3.38,0.23,0.29,0.669,1279,610,554,179,422,1565,0.25,0.774,5572,804,1394,296,33,235,647,1436,92,71,0.564,Yes
 Miami 2018,4.76,0.254,0.333,0.757,1388,809,762,192,605,1249,0.237,0.659,5488,589,1303,222,24,128,455,1384,63,98,0.391,No
 Milwaukee 2018,3.73,0.233,0.309,0.696,1259,659,606,173,553,1428,0.252,0.747,5542,754,1398,252,24,218,537,1458,96,67,0.589,Yes
 Minnesota 2018,4.5,0.256,0.332,0.755,1425,775,722,198,573,1377,0.25,0.723,5526,738,1379,317,22,166,534,1328,78,84,0.481,No
 NY Mets 2018,4.07,0.246,0.313,0.711,1364,707,661,185,484,1446,0.234,0.701,5468,676,1282,265,34,170,566,1404,77,85,0.475,No
 NY Yankees 2018,3.78,0.237,0.304,0.694,1311,669,611,177,494,1634,0.249,0.781,5515,851,1374,269,23,267,625,1421,100,62,0.617,Yes
 Oakland 2018,3.81,0.236,0.301,0.693,1303,674,621,184,474,1237,0.252,0.764,5579,813,1407,322,20,227,550,1381,97,65,0.599,Yes
 Philadelphia 2018,4.15,0.249,0.316,0.723,1366,728,666,171,500,1465,0.234,0.707,5424,677,1270,241,30,186,582,1520,80,82,0.494,No
 Pittsburgh 2018,4,0.251,0.319,0.726,1380,693,638,174,497,1336,0.254,0.725,5447,692,1381,290,38,157,474,1229,82,79,0.509,No
 San Diego 2018,4.4,0.256,0.324,0.742,1430,767,713,185,519,1399,0.235,0.677,5486,617,1289,250,30,162,471,1523,66,96,0.407,No
